test_name,tail,dependent_variable,independent_variable,independent_variable_levels,subset_factors,subset_levels,sample_size_1,sample_size_2,degrees_freedom,mean_1,mean_2,standard_error_1,standard_error_2,t_stats,r,beta,p_value,p_value_threshold,conf_interval_95_1,conf_interval_95_2
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,1,2000,2000,1999,0.775715887661056,0.830776466092476,9.75275837457587e-05,0.000316042988223314,-164.95206913719,NaN,NaN,0,0.005,-0.0557152057552901,-0.0544059511075489
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,1,2000,2000,1999,0.795495966347356,0.840090813756447,0.000102273751784464,0.000406691482835026,-106.877646901235,NaN,NaN,0,0.005,-0.0454131405776287,-0.043776554240554
paired_ttest,two_sided,bacc_same_Franck,fit_phase,"rational,irrational",model_config,1,1000,1000,999,0.775715887661056,0.843538871723194,0.000137959343044659,0.00013304600679285,-348.645289489272,NaN,NaN,0,0.005,-0.068204724064527,-0.0674412440597469
paired_ttest,two_sided,bacc_same_Miles,fit_phase,"rational,irrational",model_config,1,1000,1000,999,0.795495966347356,0.857635463872658,0.000144673117747683,0.000100499009016546,-350.322907419149,NaN,NaN,0,0.005,-0.0624875732856524,-0.0617914217649527
paired_ttest,two_sided,bacc_other_Franck,fit_phase,"rational,irrational",model_config,1,1000,1000,999,0.775715887661056,0.822546163640236,0.000137959343044659,0.000188619150508873,-194.904529496439,NaN,NaN,0,0.005,-0.047301773447338,-0.0463587785110203
paired_ttest,two_sided,bacc_other_Miles,fit_phase,"rational,irrational",model_config,1,1000,1000,999,0.795495966347356,0.818014060461759,0.000144673117747683,0.000236531877257801,-77.6996194900825,NaN,NaN,0,0.005,-0.0230867994696722,-0.0219493887591337
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,2,2000,2000,1999,0.774931550131545,0.832931667572188,8.48945064654183e-05,0.000266793409864088,-206.244092040719,NaN,NaN,0,0.005,-0.0585516339062211,-0.0574486009750638
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,2,2000,2000,1999,0.794985282726659,0.839988729072718,7.07829987920024e-05,0.00038043839246347,-116.60958756355,NaN,NaN,0,0.005,-0.0457603186972805,-0.0442465739948384
paired_ttest,two_sided,bacc_same_Franck,fit_phase,"rational,irrational",model_config,2,1000,1000,999,0.774931550131546,0.843622389074727,0.000120089003441337,0.000138184999411906,-382.476260897587,NaN,NaN,0,0.005,-0.0690432657341722,-0.0683384121521909
paired_ttest,two_sided,bacc_same_Miles,fit_phase,"rational,irrational",model_config,2,1000,1000,999,0.794985282726658,0.856280292819905,0.000100127324363249,0.000111313612736247,-426.612483428663,NaN,NaN,0,0.005,-0.0615769562254834,-0.0610130639610102
paired_ttest,two_sided,bacc_other_Franck,fit_phase,"rational,irrational",model_config,2,1000,1000,999,0.774931550131546,0.82369716532553,0.000120089003441337,0.000188337616636526,-214.022670803175,NaN,NaN,0,0.005,-0.0492127397355755,-0.0483184906523947
paired_ttest,two_sided,bacc_other_Miles,fit_phase,"rational,irrational",model_config,2,1000,1000,999,0.794985282726658,0.822240946069648,0.000100127324363249,0.000192224961225502,-125.14493632697,NaN,NaN,0,0.005,-0.0276830471413161,-0.0268282795446648
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,3,2000,2000,1999,0.771613464914693,0.8241653900275,0.000108349503945989,0.000454960791371237,-112.398775063631,NaN,NaN,0,0.005,-0.0534688593276977,-0.0516349908979157
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,3,2000,2000,1999,0.793676466339701,0.835067747066749,0.000106895624459156,0.000375345127583994,-105.953630274317,NaN,NaN,0,0.005,-0.0421574136926709,-0.040625147761426
paired_ttest,two_sided,bacc_same_Franck,fit_phase,"rational,irrational",model_config,3,1000,1000,999,0.771613464914693,0.841209850786238,0.000153267678840176,0.000230526270597918,-239.494172118894,NaN,NaN,0,0.005,-0.0701666372155864,-0.0690261345275045
paired_ttest,two_sided,bacc_same_Miles,fit_phase,"rational,irrational",model_config,3,1000,1000,999,0.793676466339701,0.850216987104342,0.000151211068277646,0.000204600891011275,-229.403915459741,NaN,NaN,0,0.005,-0.0570241733993753,-0.0560568681299062
paired_ttest,two_sided,bacc_other_Franck,fit_phase,"rational,irrational",model_config,3,1000,1000,999,0.771613464914693,0.819918507029158,0.000153267678840176,0.000249995957451582,-161.562160672623,NaN,NaN,0,0.005,-0.0488917573857163,-0.0477183268432134
paired_ttest,two_sided,bacc_other_Miles,fit_phase,"rational,irrational",model_config,3,1000,1000,999,0.793676466339701,0.80712092926876,0.000151211068277646,0.000440023208859277,-29.5855856151918,NaN,NaN,1.16393178597357e-138,0.005,-0.0143362021486749,-0.0125527237094436
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,4,2000,2000,1999,0.772268534051684,0.819358134164077,9.49871705307847e-05,0.000553400880808706,-83.8554466375061,NaN,NaN,0,0.005,-0.0481908981179347,-0.0459883021068516
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,4,2000,2000,1999,0.794106828308036,0.831330987557744,0.000146278824696921,0.000406312326247252,-86.1439039466159,NaN,NaN,0,0.005,-0.0380716041579698,-0.0363767143414492
paired_ttest,two_sided,bacc_same_Franck,fit_phase,"rational,irrational",model_config,4,1000,1000,999,0.772268534051684,0.83894443276104,0.000134365757263703,0.000259958370686004,-243.36013864602,NaN,NaN,0,0.005,-0.0672135417318483,-0.0661382556868645
paired_ttest,two_sided,bacc_same_Miles,fit_phase,"rational,irrational",model_config,4,1000,1000,999,0.794106828308035,0.846724822562335,0.00020692126044197,0.000271992468675073,-219.246541920623,NaN,NaN,0,0.005,-0.0530889456810471,-0.0521470428275528
paired_ttest,two_sided,bacc_other_Franck,fit_phase,"rational,irrational",model_config,4,1000,1000,999,0.772268534051684,0.815937152553155,0.000134365757263703,0.000335104022244683,-128.779482249888,NaN,NaN,0,0.005,-0.0443340408120646,-0.0430031961908761
paired_ttest,two_sided,bacc_other_Miles,fit_phase,"rational,irrational",model_config,4,1000,1000,999,0.794106828308035,0.799771835567114,0.00020692126044197,0.000624524381877253,-10.3729251163896,NaN,NaN,5.17967221720778e-24,0.005,-0.006736708683448,-0.00459330583470929
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,5,2000,2000,1999,0.774679089474675,0.809341713009104,0.000152792716636878,0.000791513293554102,-42.4865440348504,NaN,NaN,1.29708968733797e-281,0.005,-0.0362626278396896,-0.0330626192291693
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,5,2000,2000,1999,0.796098191946393,0.83661187333438,0.000166657857297927,0.000432312033528952,-87.8025745973288,NaN,NaN,0,0.005,-0.0414185917981283,-0.0396087709778444
paired_ttest,two_sided,bacc_same_Franck,fit_phase,"rational,irrational",model_config,5,1000,1000,999,0.774679089474674,0.840900166291541,0.000216135599792804,0.000243493097323333,-198.805653101538,NaN,NaN,0,0.005,-0.0668747220357597,-0.0655674315979746
paired_ttest,two_sided,bacc_same_Miles,fit_phase,"rational,irrational",model_config,5,1000,1000,999,0.796098191946393,0.854549869206344,0.000235748776120504,0.000182485228192692,-185.447953606722,NaN,NaN,0,0.005,-0.0590701912285839,-0.0578331632913198
paired_ttest,two_sided,bacc_other_Franck,fit_phase,"rational,irrational",model_config,5,1000,1000,999,0.774679089474674,0.818673877462414,0.000216135599792804,0.000265443969591963,-126.039923563036,NaN,NaN,0,0.005,-0.0446797518793506,-0.0433098240961282
paired_ttest,two_sided,bacc_other_Miles,fit_phase,"rational,irrational",model_config,5,1000,1000,999,0.796098191946393,0.777783259726666,0.000235748776120504,0.000673849178157349,24.6200115568807,NaN,NaN,5.51306241444103e-105,0.005,0.0168551379881286,0.0197747264513251
paired_ttest,two_sided,bacc_Franck,fit_phase,"rational,irrational",model_config,6,2000,2000,1999,0.775628349639189,0.807641743051538,0.000108427559610446,0.000785113245869248,-40.2436403931179,NaN,NaN,6.80437078210058e-260,0.005,-0.0335734687768498,-0.0304533180478494
paired_ttest,two_sided,bacc_Miles,fit_phase,"rational,irrational",model_config,6,2000,2000,1999,0.797786177015213,0.835228115797121,9.00201067609905e-05,0.000418724836599305,-87.749486465347,NaN,NaN,0,0.005,-0.0382787449488035,-0.0366051326150134
