test_name,tail,dependent_variable,independent_variable,independent_variable_levels,subset_factors,subset_levels,sample_size_1,sample_size_2,degrees_freedom,mean_1,mean_2,standard_error_1,standard_error_2,t_stats,r,beta,p_value,cohens_d,p_value_threshold,conf_interval_95_1,conf_interval_95_2
williams_test,,value_profile_corr_with_rational,monkey,"Franck,Miles",,,1,1,36,0.948854239,0.929699419,0,0,NaN,NaN,NaN,0.188766662,NaN,0.05,NaN,NaN
pearson_corr,,value_profile,system,"rational_RNNs,Franck",,,36,36,34,2.47E-16,1.23E-16,0.166666667,0.166666667,NaN,0.948854239,NaN,1.35E-18,NaN,0.025,NaN,NaN
two_sample_ttest,two_sided,abs_dV,decision_step,"2,3","monkey,trial_type","Franck,option",663,1869,2530,1.930030897,1.15515568,0.032821574,0.01840411,21.19220601,NaN,NaN,6.89E-92,0.957958296,0.025,0.703176479,0.846573955
two_sample_ttest,two_sided,abs_dV,decision_step,"2,4","monkey,trial_type","Franck,option",663,2069,2730,1.930030897,1.086690334,0.032821574,0.01856067,22.37785339,NaN,NaN,5.59E-102,0.998669444,0.025,0.76944383,0.917237298
two_sample_ttest,two_sided,abs_dV,decision_step,"3,4","monkey,trial_type","Franck,option",1869,2069,3936,1.15515568,1.086690334,0.01840411,0.01856067,2.611481711,NaN,NaN,0.009049306,0.0833374,0.025,0.017065067,0.119865626
two_sample_ttest,two_sided,abs_dV,decision_step,"2,3","monkey,trial_type","Franck,attribute",508,2105,2611,0.903703097,1.147357217,0.027729201,0.018609335,-6.05223731,NaN,NaN,1.63E-09,-0.299176686,0.025,-0.322595965,-0.164712276
two_sample_ttest,two_sided,abs_dV,decision_step,"2,4","monkey,trial_type","Franck,attribute",508,2249,2755,0.903703097,1.188959769,0.027729201,0.018239395,-7.029594454,NaN,NaN,2.60E-12,-0.345320269,0.025,-0.364825778,-0.205687568
two_sample_ttest,two_sided,abs_dV,decision_step,"3,4","monkey,trial_type","Franck,attribute",2105,2249,4352,1.147357217,1.188959769,0.018609335,0.018239395,-1.595892798,NaN,NaN,0.110585337,-0.04839797,0.025,-0.092710113,0.009505008
paired_ttest,two_sided,prop_irrational,decision_step,"2,3",monkey,Franck,24,24,23,0.101974983,0.207771634,0.01130592,0.00978895,-8.806526103,NaN,NaN,7.94E-09,-1.797624613,0.025,-0.130648341,-0.080944963
paired_ttest,two_sided,prop_irrational,decision_step,"2,4",monkey,Franck,24,24,23,0.101974983,0.249441072,0.01130592,0.009247776,-11.42104817,NaN,NaN,5.89E-11,-2.331311696,0.025,-0.174176147,-0.120756033
paired_ttest,two_sided,prop_irrational,decision_step,"3,4",monkey,Franck,24,24,23,0.207771634,0.249441072,0.00978895,0.009247776,-3.363437755,NaN,NaN,0.002686012,-0.686558857,0.025,-0.067297919,-0.016040957
two_sample_ttest,two_sided,residuals_irrational,decision_step,"2,3",monkey,Franck,1171,3974,5143,-0.054106638,-0.007586948,0.007752003,0.006018839,-3.922438166,NaN,NaN,8.88E-05,-0.13042367,0.025,-0.069770121,-0.023269258
two_sample_ttest,two_sided,residuals_irrational,decision_step,"2,4",monkey,Franck,1171,4318,5487,-0.054106638,0.021655722,0.007752003,0.006090976,-6.122799014,NaN,NaN,9.83E-10,-0.201732956,0.025,-0.100019935,-0.051504784
two_sample_ttest,two_sided,residuals_irrational,decision_step,"3,4",monkey,Franck,3974,4318,8290,-0.007586948,0.021655722,0.006018839,0.006090976,-3.407415289,NaN,NaN,0.000658931,-0.074903043,0.025,-0.04606567,-0.012419669
two_sample_ttest,two_sided,residuals_irrational_step_2,trial_type,"option,attribute",monkey,Franck,663,508,1169,-0.038045871,-0.075067836,0.008435148,0.014031616,2.371558386,NaN,NaN,0.017874533,0.139837499,0.025,0.006393613,0.067650317
two_sample_ttest,two_sided,residuals_irrational_step_3,trial_type,"option,attribute",monkey,Franck,1869,2105,3972,-0.001210653,-0.013248372,0.008858427,0.008200777,0.99823806,NaN,NaN,0.318224743,0.031726149,0.025,-0.011604625,0.035680064
two_sample_ttest,two_sided,residuals_irrational_step_4,trial_type,"option,attribute",monkey,Franck,2069,2249,4316,0.027291607,0.016470908,0.009051545,0.008211371,0.887462634,NaN,NaN,0.374879325,0.027034381,0.025,-0.013083552,0.034724949
one_sample_ttest,two_sided,value_function_attended_gradient_diff,,,monkey,Franck,24,1,23,-0.282283232,NaN,0.015497203,NaN,-18.21510879,NaN,NaN,3.67E-15,-3.718143511,0.025,-0.314341638,-0.250224825
pearson_corr,,value_profile,system,"rational_RNNs,Miles",,,36,36,34,2.47E-16,-7.40E-17,0.166666667,0.166666667,NaN,0.929699419,NaN,2.60E-16,NaN,0.025,NaN,NaN
two_sample_ttest,two_sided,abs_dV,decision_step,"2,3","monkey,trial_type","Miles,option",182,2329,2509,2.447558639,1.396255752,0.060230093,0.018682509,15.25341656,NaN,NaN,2.63E-50,1.174005277,0.025,0.916152164,1.18645361
two_sample_ttest,two_sided,abs_dV,decision_step,"2,4","monkey,trial_type","Miles,option",182,4136,4316,2.447558639,1.080190739,0.060230093,0.01349265,20.85964411,NaN,NaN,3.82E-92,1.579873282,0.025,1.238854508,1.495881291
two_sample_ttest,two_sided,abs_dV,decision_step,"3,4","monkey,trial_type","Miles,option",2329,4136,6463,1.396255752,1.080190739,0.018682509,0.01349265,13.86247425,NaN,NaN,4.40E-43,0.359128613,0.025,0.271369379,0.360760647
two_sample_ttest,two_sided,abs_dV,decision_step,"2,3","monkey,trial_type","Miles,attribute",141,2867,3006,0.285086892,1.334377607,0.035691495,0.017638418,-13.12615811,NaN,NaN,2.59E-38,-1.132278196,0.025,-1.206031202,-0.892550228
two_sample_ttest,two_sided,abs_dV,decision_step,"2,4","monkey,trial_type","Miles,attribute",141,3500,3639,0.285086892,1.16491755,0.035691495,0.015079756,-11.65657782,NaN,NaN,7.46E-31,-1.001239162,0.025,-1.027816643,-0.731844673
two_sample_ttest,two_sided,abs_dV,decision_step,"3,4","monkey,trial_type","Miles,attribute",2867,3500,6365,1.334377607,1.16491755,0.017638418,0.015079756,7.343907678,NaN,NaN,2.33E-13,0.184989366,0.025,0.12422545,0.214694664
paired_ttest,two_sided,prop_irrational,decision_step,"2,3",monkey,Miles,29,29,28,0.187859592,0.141586329,0.034073409,0.006421986,1.302693702,NaN,NaN,0.203292229,0.241904148,0.025,-0.026488647,0.119035172
paired_ttest,two_sided,prop_irrational,decision_step,"2,4",monkey,Miles,29,29,28,0.187859592,0.22175227,0.034073409,0.006772978,-0.990227409,NaN,NaN,0.330543566,-0.183880614,0.025,-0.10400385,0.036218494
paired_ttest,two_sided,prop_irrational,decision_step,"3,4",monkey,Miles,29,29,28,0.141586329,0.22175227,0.006421986,0.006772978,-13.17035774,NaN,NaN,1.61E-13,-2.445674035,0.025,-0.092634279,-0.067697601
two_sample_ttest,two_sided,residuals_irrational,decision_step,"2,3",monkey,Miles,323,5196,5517,-0.031971807,-0.019002688,0.017342031,0.00431935,-0.726334979,NaN,NaN,0.467664254,-0.041651565,0.025,-0.047973055,0.022034818
two_sample_ttest,two_sided,residuals_irrational,decision_step,"2,4",monkey,Miles,323,7636,7957,-0.031971807,0.014282983,0.017342031,0.004350325,-2.156288458,NaN,NaN,0.03109102,-0.122490354,0.025,-0.088304597,-0.004204982
two_sample_ttest,two_sided,residuals_irrational,decision_step,"3,4",monkey,Miles,5196,7636,12830,-0.019002688,0.014282983,0.00431935,0.004350325,-5.229825057,NaN,NaN,1.72E-07,-0.094051734,0.025,-0.045761207,-0.020810135
two_sample_ttest,two_sided,residuals_irrational_step_2,trial_type,"option,attribute",monkey,Miles,182,141,321,-0.007843788,-0.063115773,0.009406865,0.037743916,1.584396845,NaN,NaN,0.114088085,0.177754244,0.025,-0.0133605,0.123904469
two_sample_ttest,two_sided,residuals_irrational_step_3,trial_type,"option,attribute",monkey,Miles,2329,2867,5194,-0.008069809,-0.027883984,0.00640617,0.005843672,2.282248366,NaN,NaN,0.022514935,0.063664728,0.025,0.002794064,0.036834286
two_sample_ttest,two_sided,residuals_irrational_step_4,trial_type,"option,attribute",monkey,Miles,4136,3500,7634,0.008518697,0.021094722,0.005956296,0.006366089,-1.440491117,NaN,NaN,0.149769511,-0.033084095,0.025,-0.029689954,0.004537905
one_sample_ttest,two_sided,value_function_attended_gradient_diff,,,monkey,Miles,29,1,28,-0.253537778,NaN,0.014518285,NaN,-17.46334261,NaN,NaN,1.38E-16,-3.242861311,0.025,-0.283277136,-0.22379842
